datetime,power,temp,dew,precip,snow,windspeed,winddir,cloudcover,solarradiation,uvindex,Day sin,Day cos,Month sin,Month cos,Year sin,Year cos
2022-04-03 22:00:00,0.0,0.5,-5.5,0.0,0.0,5.0,250.0,28.6,0.0,0.0,-0.5000000000050109,0.8660254037815456,0.04361938736642347,-0.9990482215818103,0.999410527348265,-0.034330712568528356
2022-04-03 23:00:00,0.0,0.2,-5.1,0.0,0.0,5.4,200.0,62.7,0.0,0.0,-0.25881904511320775,0.9659258262862047,0.0218148850354829,-0.9997620270798889,0.9993856629635202,-0.03504706354268964
2022-04-04 00:00:00,0.0,0.1,-4.6,0.0,0.0,6.1,210.0,29.4,0.0,0.0,-1.7899182545192699e-12,1.0,7.554896557252246e-13,-1.0,0.9993602851174517,-0.0357633965104773
2022-04-04 01:00:00,0.0,-0.2,-5.0,0.0,0.0,4.6,210.0,0.0,0.0,0.0,0.2588190450956938,0.9659258262908975,-0.02181488503397228,-0.9997620270799219,0.9993343938230982,-0.03647971110385598
2022-04-04 02:00:00,0.0,-0.9,-4.6,0.0,0.0,8.3,220.0,12.9,0.0,0.0,0.4999999999893084,0.8660254037906114,-0.04361938736491393,-0.9990482215818762,0.9993079890937621,-0.03719600695479973
2022-04-04 03:00:00,0.0,-1.5,-4.7,0.0,0.0,6.5,210.0,0.1,0.0,0.0,0.7071067811843755,0.7071067811887195,-0.06540312922988765,-0.9978589232386202,0.9992810709430093,-0.03791228369529226
2022-04-04 04:00:00,0.0,-1.9,-4.6,0.0,0.0,7.6,220.0,0.0,0.0,0.0,0.8660254037802639,0.5000000000072309,-0.08715574274756906,-0.9961946980917533,0.99925363938467,-0.03862854095732709
2022-04-04 05:00:00,0.0,-2.5,-5.0,0.0,0.0,9.3,220.0,0.0,0.0,0.0,0.9659258262855412,0.25881904511568377,-0.10886687485204116,-0.9940563382223112,0.9992256944328377,-0.039344778372907736
2022-04-04 06:00:00,0.0,-2.5,-5.1,0.0,0.0,10.8,230.0,0.0,0.0,0.0,1.0,4.353262406113788e-12,-0.13052619222029307,-0.9914448613737786,0.99919723610187,-0.04006099557404792
2022-04-04 07:00:00,54.0,-2.1,-5.0,0.0,0.0,12.5,220.0,0.0,39.0,0.0,0.965925826291561,-0.2588190450932178,-0.15212338618852417,-0.988361510467975,0.9991682644063881,-0.04077719219277176
2022-04-04 08:00:00,532.0,-0.7,-4.8,0.0,0.0,11.5,220.0,50.0,177.0,2.0,0.8660254037846172,-0.49999999999969075,-0.1736481776657068,-0.9848077530124238,0.9991387793612768,-0.04149336786111392
2022-04-04 09:00:00,1410.0,2.0,-4.6,0.0,0.0,19.1,230.0,50.0,366.0,4.0,0.707106781190532,-0.707106781182563,-0.19509032201507304,-0.9807852804034404,0.9991087809816828,-0.04220952221117665
2022-04-04 10:00:00,2544.0,4.9,-3.3,0.0,0.0,27.7,230.0,69.5,585.0,6.0,0.5000000000094508,-0.8660254037789823,-0.21643961393721503,-0.9762960071201302,0.999078269283023,-0.04292565487490276
2022-04-04 11:00:00,3188.0,6.4,-2.9,0.0,0.0,29.9,230.0,99.6,475.0,5.0,0.2588190451041037,-0.9659258262886441,-0.23768589232545148,-0.971342069813438,0.9990472442809715,-0.04364176548441658
2022-04-04 12:00:00,2322.0,6.9,-4.3,0.0,0.0,38.8,230.0,85.5,517.0,5.0,6.9166065577083075e-12,-1.0,-0.258819045101964,-0.9659258262892174,0.9990157059914682,-0.04435785367179698
2022-04-04 13:00:00,3782.0,7.7,-3.9,0.0,0.0,39.2,240.0,89.2,484.0,5.0,-0.25881904509074183,-0.9659258262922245,-0.27982901403059857,-0.9600498543860434,0.9989836544307165,-0.04507391906913436
2022-04-04 14:00:00,2624.0,7.8,-3.5,0.0,0.0,35.7,230.0,50.0,320.0,3.0,-0.49999999999747086,-0.8660254037858989,-0.300705799504041,-0.9537169507483001,0.998951089615184,-0.045789961308530816
2022-04-04 15:00:00,1736.0,7.7,-3.2,0.0,0.0,34.2,230.0,100.0,290.0,3.0,-0.7071067811807504,-0.7071067811923446,-0.3214394653030888,-0.9469301294951303,0.9989180115616015,-0.04650598002210034
2022-04-04 16:00:00,1046.0,7.2,-1.9,0.0,0.0,36.3,220.0,100.0,182.0,2.0,-0.8660254037777005,-0.5000000000116707,-0.342020143325753,-0.9396926207858777,0.9988844202869641,-0.047221974841969015
2022-04-04 17:00:00,524.0,7.0,-1.7,0.0,0.0,27.0,240.0,30.0,95.0,1.0,-0.9659258262879807,-0.25881904510657966,-0.3624380382839404,-0.9320078692827056,0.99885031580853,-0.04793794540027522
2022-04-04 18:00:00,260.0,6.1,-0.2,0.0,0.0,37.8,250.0,99.1,30.0,0.0,-1.0,-9.479950709302827e-12,-0.38268343236379976,-0.9238795325118211,0.9988156981438214,-0.048653891329169766
2022-04-04 19:00:00,40.0,5.0,0.8,0.0,0.0,25.9,240.0,99.9,12.0,0.0,-0.9659258262891216,0.2588190451023219,-0.4027466898576116,-0.9153114791199425,0.9987805673106239,-0.04936981226081613
2022-04-04 20:00:00,0.0,5.2,1.0,0.0,0.0,31.7,230.0,100.0,0.0,0.0,-0.8660254037871805,0.4999999999952509,-0.42261826173973577,-0.9063077870370994,0.998744923326987,-0.05008570782739065
2022-04-04 21:00:00,0.0,5.0,1.3,0.1,0.0,30.2,230.0,100.0,0.0,0.0,-0.7071067811941572,0.7071067811789379,-0.44228869021819694,-0.8968727415330849,0.9987087662112238,-0.05080157766108267
2022-04-04 22:00:00,0.0,5.2,1.5,0.0,0.0,31.7,230.0,100.0,0.0,0.0,-0.5000000000012883,0.8660254037836949,-0.46174861323438615,-0.8870108331785589,0.998672095981911,-0.051517421394094765
2022-04-04 23:00:00,0.0,5.4,1.8,0.0,0.0,27.7,230.0,100.0,0.0,0.0,-0.2588190451090557,0.9659258262873173,-0.48098876891889336,-0.8767267557077789,0.9986349126578858,-0.05223323865869969
2022-04-05 00:00:00,0.0,5.2,2.5,0.0,0.0,31.7,230.0,100.0,0.0,0.0,-1.2043294860897345e-11,1.0,-0.49999999999965594,-0.8660254037846373,0.9985972162582583,-0.0529490290870135
2022-04-05 01:00:00,0.0,5.2,2.3,0.0,0.0,31.0,220.0,100.0,0.0,0.0,0.2588190450998459,0.9659258262897851,-0.5187732581603242,-0.8549118706730663,0.9985590068023928,-0.053664792311336335
2022-04-05 02:00:00,0.0,5.0,2.8,0.0,0.0,28.1,220.0,100.0,0.0,0.0,0.499999999993031,0.8660254037884622,-0.5372996083467696,-0.8433914458129202,0.9985202843099206,-0.05438052796392554
2022-04-05 03:00:00,0.0,5.0,3.3,0.0,0.0,28.4,220.0,100.0,0.0,0.0,0.7071067811771253,0.7071067811959697,-0.5555702330196872,-0.8314696123024884,0.9984810488007365,-0.055096235677052637
2022-04-05 04:00:00,0.0,5.2,3.2,0.0,0.0,32.3,230.0,100.0,0.0,0.0,0.8660254037824132,0.5000000000035082,-0.5735764363512662,-0.8191520442888376,0.9984413002949987,-0.05581191508300348
2022-04-05 05:00:00,0.0,5.2,3.2,0.0,0.0,25.9,230.0,97.5,0.0,0.0,0.9659258262866538,0.25881904511153164,-0.5913096483624665,-0.8064446042683008,0.9984010388131289,-0.05652756581407851
2022-04-05 06:00:00,0.0,5.2,3.8,0.0,0.0,27.3,220.0,100.0,0.0,0.0,1.0,5.472378412501193e-14,-0.608761429007755,-0.7933533402919761,0.9983602643758129,-0.05724318750259284
2022-04-05 07:00:00,0.0,5.5,3.8,0.01,0.0,25.5,230.0,100.0,16.0,0.0,0.9659258262904484,-0.25881904509736986,-0.6259234721832396,-0.7798844830935394,0.9983189770039994,-0.05795877978087657
2022-04-05 08:00:00,30.0,5.7,4.3,0.16,0.0,24.1,230.0,100.0,41.0,0.0,0.8660254037897439,-0.4999999999908111,-0.642787609685862,-0.7660444431195463,0.9982771767189009,-0.05867434228127485
2022-04-05 09:00:00,136.0,5.9,4.7,0.18,0.0,27.3,220.0,100.0,68.0,1.0,0.7071067811874925,-0.7071067811856026,-0.6593458150995293,-0.7518398074794506,0.9982348635419936,-0.05938987463614817
2022-04-05 10:00:00,330.0,6.5,5.0,0.1,0.0,23.7,230.0,100.0,89.0,1.0,0.5000000000057281,-0.8660254037811315,-0.6755902076152539,-0.7372773368104965,0.998192037495017,-0.060105376477872494
2022-04-05 11:00:00,462.0,7.0,5.2,0.0,0.0,23.8,220.0,100.0,120.0,1.0,0.25881904511400766,-0.9659258262859903,-0.6915130557819915,-0.7223639620600216,0.9981486985999738,-0.06082084743883946
2022-04-05 12:00:00,642.0,7.6,5.7,0.0,0.0,19.8,220.0,100.0,125.0,1.0,2.618067935719531e-12,-1.0,-0.7071067811863933,-0.7071067811867018,0.9981048468791309,-0.061536287151456585
2022-04-05 13:00:00,678.0,8.1,6.1,0.0,0.0,25.2,220.0,100.0,113.0,1.0,-0.2588190450948939,-0.9659258262911119,-0.7223639620597199,-0.6915130557823067,0.9980604823550148,-0.06225169524820416
2022-04-05 14:00:00,544.0,8.5,6.7,0.0,0.0,23.1,220.0,100.0,141.0,1.0,-0.4999999999885912,-0.8660254037910255,-0.7372773368102016,-0.6755902076155755,0.9980156050504257,-0.06296707136140851
2022-04-05 15:00:00,376.0,8.5,6.9,0.0,0.0,23.4,220.0,100.0,97.0,1.0,-0.70710678118379,-0.707106781189305,-0.7518398074791629,-0.6593458150998573,0.9979702149884172,-0.06368241512358264
2022-04-05 16:00:00,332.0,8.4,7.3,0.0,0.0,26.6,220.0,100.0,80.0,1.0,-0.8660254037798498,-0.5000000000079481,-0.7660444431180967,-0.6427876096875896,0.9979243121923097,-0.06439772616719937
2022-04-05 17:00:00,234.0,8.5,7.6,0.0,0.0,20.2,230.0,100.0,54.0,1.0,-0.9659258262890933,-0.2588190451024276,-0.7798844830921278,-0.6259234721849986,0.9978778966856869,-0.0651130041247484
2022-04-05 18:00:00,108.0,9.0,7.6,0.0,0.0,24.1,230.0,100.0,29.0,0.0,-1.0,-5.18141208731405e-12,-0.7933533402906032,-0.6087614290095442,0.9978309684923962,-0.06582824862873637
2022-04-05 19:00:00,36.0,8.6,8.0,0.03,0.0,23.4,220.0,100.0,10.0,0.0,-0.9659258262917754,0.2588190450924179,-0.8064446042669672,-0.5913096483642852,0.997783527636548,-0.06654345931168718
2022-04-05 20:00:00,0.0,8.6,7.8,0.17,0.0,20.2,220.0,99.5,0.0,0.0,-0.8660254037850312,0.49999999999897354,-0.8191520442885873,-0.5735764363516237,0.9977355741425163,-0.06725863580614201
